Группа проверок*,Название класса,Границы,Тестовые данные внутри класса (содержимое поля),Тестовые данные на границах (содержимое поля),Пояснение и оптимизации
"Время начала поездки. 
Часы",Числа от 0-9,0; 9,6,"-1, 0, 1, 8, 9, 10",
,Числа от 10-23 ,10; 23,17,"9, 10, 11, 22, 23, 24",
,Нули перед целым однозначным числом (ручной ввод),,04,,
,Числа меньше нуля,- ∞; -1,-8,"-2, -1, 0",
,Числа больше 24,24; +∞,60,"23, 24, 25",
,Поле заполнено ,,6,,
,Поле не заполнено,,Пустой ввод,,
,Спецсимволы,,1%,,
,Дробные числа с .,,5.4,,
,Числа с буквами ,,2ш,,
"Время начала поездки.*
Минуты",Числа от 0-9,0; 9,6,"-1, 0, 1, 8, 9, 10",
,Числа от 10-59 ,10; 59,38,"9, 10, 11, 58, 59, 60",
,Нули перед целым однозначным числом (ручной ввод),,03,,
,Числа меньше нуля,- ∞; -1,-6,"-2, -1, 0",
,Числа больше 60,60; +∞,75,"59, 60, 61",
,Поле заполнено ,,6,,
,Поле не заполнено,,Пустой ввод,,
,Спецсимволы,,6!,,
,Дробные числа с .,,7.6,,
,Числа с буквами ,,9к,,
Группа проверок,Название класса,Границы,Тестовые данные внутри класса (содержимое поля),Тестовые данные на границах (содержимое поля),Пояснение и оптимизации
Поле ввода адреса. Откуда,Валидация поля Откуда,,,,
,Поле заполнено (валидно),-,"Комсомольский проспект, 18",-,
,Поле не заполнено (невалидно),-,Пустой ввод,-,
,Адрес из списка,-,"Комсомольский проспект, 18",-,
,Адрес не из списка,-,"М. Пироговская, 25%",-,
,Валидный адрес с пробелом до адреса,-,""" ""Комсомольский проспект, 18",-,
,Валидный адрес с пробелом после адреса,-,"Комсомольский проспект, 18"" """,-,
Группа проверок,Название класса,Границы,Тестовые данные внутри класса (содержимое поля),Тестовые данные на границах (содержимое поля),Пояснение и оптимизации
Поле ввода адреса. Куда,Поле заполнено (валидно),-,"Усачева, 3",-,
,Поле не заполнено (невалидно),-,Пустой ввод,-,
,Адрес из списка,-,"Усачева, 3",-,
,Адрес не из списка,-,"М. Пироговская, 25%",-,
,Валидный адрес с пробелом до адреса,-,""" ""3-я Фрунзенская улица, 12",-,
,Валидный адрес с пробелом после адреса,-,"3-я Фрунзенская улица, 12"" """,-,
Группа проверок,Название класса,Границы,Тестовые данные внутри класса (содержимое поля),Тестовые данные на границах (содержимое поля),Пояснение и оптимизации
Расстояние между адресами,Расстояние =0,-,"от Усачева, 3 до Усачева, 3",-,
,Расстояние >0,-,"от Усачева, 3 до Хамовнический Вал, 34",-,
Время начала движения,00:01-08:00,"00:01, 08:00",6:00,"00:00, 00:01, 00:02, 07:59, 08:00, 08:01",
,08:01-12:00,"08:01, 12:00",10:00,"08:00, 08:01, 08:02, 11:59, 12:00, 12:01",
,12:01-18:00,"12:01, 18:00",14:00,"12:00, 12:01, 12:02, 17:59, 18:00, 18:01",
,18:01-22:00,"18:01, 22:00",20:00,"18:00, 18:01, 18:02, 21:59, 22:00, 22:01",
,22:01-00:00,"22:01, 00:00",23:00,"22:00, 22:01, 22:02, 23:59, 00:00, 00:01",


